CARROS,BOMBAS,TEMPO_REAL
25,25,5.01
25,50,5.01
25,75,5.01
25,100,5.01
25,125,5.01
25,150,5.01
25,175,5.01
25,200,5.01
25,225,5.01
25,250,5.01
25,275,5.01
25,300,5.01
25,325,5.01
25,350,5.01
25,375,5.01
25,400,5.01
25,425,5.01
25,450,5.01
25,475,5.01
25,500,5.01
50,25,5.01
50,50,5.01
50,75,5.01
50,100,5.01
50,125,5.01
50,150,5.01
50,175,5.01
50,200,5.01
50,225,5.01
50,250,5.01
50,275,5.01
50,300,5.01
50,325,5.01
50,350,5.01
50,375,5.01
50,400,5.01
50,425,5.01
50,450,5.01
50,475,5.01
50,500,5.01
75,25,10.01
75,50,5.01
75,75,5.01
75,100,5.01
75,125,5.01
75,150,5.01
75,175,5.0
75,200,5.01
75,225,5.01
75,250,5.01
75,275,5.01
75,300,5.01
75,325,5.01
75,350,5.01
75,375,5.01
75,400,5.01
75,425,5.01
75,450,5.01
75,475,5.01
75,500,5.01
100,25,10.02
100,50,5.01
100,75,5.01
100,100,5.01
100,125,5.01
100,150,5.01
100,175,5.01
100,200,5.01
100,225,5.01
100,250,5.01
100,275,5.01
100,300,5.01
100,325,5.01
100,350,5.01
100,375,5.01
100,400,5.01
100,425,5.01
100,450,5.01
100,475,5.01
100,500,5.01
125,25,15.02
125,50,10.02
125,75,5.01
125,100,5.01
125,125,5.01
125,150,5.01
125,175,5.01
125,200,5.01
125,225,5.01
125,250,5.01
125,275,5.01
125,300,5.01
125,325,5.01
125,350,5.01
125,375,5.01
125,400,5.01
125,425,5.01
125,450,5.01
125,475,5.01
125,500,5.01
150,25,15.03
150,50,10.02
150,75,5.01
150,100,5.01
150,125,5.01
150,150,5.01
150,175,5.01
150,200,5.01
150,225,5.01
150,250,5.01
150,275,5.01
150,300,5.01
150,325,5.01
150,350,5.01
150,375,5.01
150,400,5.01
150,425,5.01
150,450,5.01
150,475,5.01
150,500,5.01
175,25,20.02
175,50,10.01
175,75,10.01
175,100,5.01
175,125,5.01
175,150,5.01
175,175,5.0
175,200,5.01
175,225,5.0
175,250,5.01
175,275,5.01
175,300,5.01
175,325,5.01
175,350,5.01
175,375,5.01
175,400,5.01
175,425,5.01
175,450,5.01
175,475,5.01
175,500,5.01
200,25,25.03
200,50,10.01
200,75,10.01
200,100,10.01
200,125,5.01
200,150,5.01
200,175,5.01
200,200,5.01
200,225,5.01
200,250,5.01
200,275,5.01
200,300,5.01
200,325,5.01
200,350,5.01
200,375,5.01
200,400,5.01
200,425,5.01
200,450,5.01
200,475,5.01
200,500,5.01
225,25,25.05
225,50,15.03
225,75,10.02
225,100,10.02
225,125,5.01
225,150,5.01
225,175,5.01
225,200,5.01
225,225,5.01
225,250,5.0
225,275,5.01
225,300,5.01
225,325,5.01
225,350,5.01
225,375,5.01
225,400,5.01
225,425,5.01
225,450,5.01
225,475,5.01
225,500,5.01
250,25,25.04
250,50,15.03
250,75,10.02
250,100,10.02
250,125,10.02
250,150,5.01
250,175,5.01
250,200,5.01
250,225,5.01
250,250,5.01
250,275,5.01
250,300,5.01
250,325,5.01
250,350,5.01
250,375,5.01
250,400,5.01
250,425,5.02
250,450,5.01
250,475,5.02
250,500,5.01
275,25,30.06
275,50,15.03
275,75,10.02
275,100,10.02
275,125,10.02
275,150,5.01
275,175,5.01
275,200,5.02
275,225,5.01
275,250,5.01
275,275,5.01
275,300,5.01
275,325,5.01
275,350,5.01
275,375,5.01
275,400,5.01
275,425,5.01
275,450,5.01
275,475,5.01
275,500,5.01
300,25,30.03
300,50,20.03
300,75,10.01
300,100,10.01
300,125,10.01
300,150,10.01
300,175,5.01
300,200,5.01
300,225,5.01
300,250,5.01
300,275,5.01
300,300,5.01
300,325,5.01
300,350,5.01
300,375,5.01
300,400,5.01
300,425,5.01
300,450,5.01
300,475,5.01
300,500,5.01
325,25,35.04
325,50,20.05
325,75,15.03
325,100,10.01
325,125,10.02
325,150,10.02
325,175,5.01
325,200,5.01
325,225,5.01
325,250,5.01
325,275,5.01
325,300,5.01
325,325,5.01
325,350,5.01
325,375,5.01
325,400,5.01
325,425,5.01
325,450,5.01
325,475,5.01
325,500,5.01
350,25,35.04
350,50,20.03
350,75,15.02
350,100,10.02
350,125,10.02
350,150,10.02
350,175,5.01
350,200,5.01
350,225,5.01
350,250,5.01
350,275,5.01
350,300,5.01
350,325,5.01
350,350,5.01
350,375,5.01
350,400,5.01
350,425,5.01
350,450,5.01
350,475,5.01
350,500,5.01
375,25,40.05
375,50,20.03
375,75,15.02
375,100,15.02
375,125,10.02
375,150,10.02
375,175,10.02
375,200,5.01
375,225,5.01
375,250,5.01
375,275,5.01
375,300,5.01
375,325,5.01
375,350,5.01
375,375,5.01
375,400,5.01
375,425,5.01
375,450,5.01
375,475,5.01
375,500,5.01
400,25,45.05
400,50,25.03
400,75,15.02
400,100,15.02
400,125,10.02
400,150,10.02
400,175,10.02
400,200,5.01
400,225,5.01
400,250,5.01
400,275,5.01
400,300,5.01
400,325,5.01
400,350,5.01
400,375,5.01
400,400,5.01
400,425,5.01
400,450,5.01
400,475,5.01
400,500,5.01
425,25,45.06
425,50,25.03
425,75,15.02
425,100,15.02
425,125,10.02
425,150,10.02
425,175,10.02
425,200,10.02
425,225,5.01
425,250,5.01
425,275,5.01
425,300,5.01
425,325,5.01
425,350,5.01
425,375,5.01
425,400,5.01
425,425,5.01
425,450,5.01
425,475,5.01
425,500,5.01
450,25,50.06
450,50,25.03
450,75,20.03
450,100,15.02
450,125,10.02
450,150,10.02
450,175,10.02
450,200,10.02
450,225,10.02
450,250,5.01
450,275,5.01
450,300,5.01
450,325,5.01
450,350,5.01
450,375,5.01
450,400,5.01
450,425,5.01
450,450,5.01
450,475,5.01
450,500,5.01
475,25,50.06
475,50,25.03
475,75,20.02
475,100,15.02
475,125,10.02
475,150,10.02
475,175,10.02
475,200,10.02
475,225,10.02
475,250,5.01
475,275,5.01
475,300,5.01
475,325,5.01
475,350,5.01
475,375,5.01
475,400,5.01
475,425,5.01
475,450,5.01
475,475,5.01
475,500,5.01
500,25,55.07
500,50,30.04
500,75,20.03
500,100,15.02
500,125,10.02
500,150,10.02
500,175,10.02
500,200,10.02
500,225,10.02
500,250,10.02
500,275,5.01
500,300,5.01
500,325,5.01
500,350,5.01
500,375,5.01
500,400,5.01
500,425,5.01
500,450,5.01
500,475,5.05
500,500,5.01
